timestamp_ms,timestamp_iso,source_cdt,active_provider,on_fallback,coverage_pct,phase,accuracy,latency_ms,reliability,freshness_ms,degraded
1774815183987,2026-03-29T22:13:03+02:00,cdt1,idt1a,0,0.1,exploring,0.95,1,0.97,1,0
1774815188991,2026-03-29T22:13:08+02:00,cdt1,idt1a,0,0.4,hazard_scan,0.95,12,0.97,0,0
1774815193985,2026-03-29T22:13:13+02:00,cdt1,idt1a,0,0.55,hazard_scan,0.95,12,0.97,0,0
1774815198988,2026-03-29T22:13:18+02:00,cdt1,idt1a,0,0.85,hazard_scan,0.95,1,0.97,0,0
1774815203985,2026-03-29T22:13:23+02:00,cdt1,idt1a,0,1.15,hazard_scan,0.95,12,0.97,0,0
1774815208985,2026-03-29T22:13:28+02:00,cdt1,idt1a,0,1.3,clearance,0.95,12,0.97,0,0
1774815213568,2026-03-29T22:13:33+02:00,cdt1,idt1a,0,1.6,clearance,0.95,12,0.97,0,0
1774815218560,2026-03-29T22:13:38+02:00,cdt1,idt1a,0,1.9,verifying,0.95,12,0.97,0,0
1774815223557,2026-03-29T22:13:43+02:00,cdt1,idt1a,0,2.05,verifying,0.95,12,0.97,0,0
1774868252203,2026-03-30T12:57:32+02:00,cdt1,idt1a,0,0,exploring,0.95,1,0.97,0,0
1774868257194,2026-03-30T12:57:37+02:00,cdt1,idt1a,0,0.1,hazard_scan,0.95,1,0.97,1,0
1774868262193,2026-03-30T12:57:42+02:00,cdt1,idt1a,0,0.4,hazard_scan,0.95,12,0.97,0,0
1774868267193,2026-03-30T12:57:47+02:00,cdt1,idt1a,0,0.7,hazard_scan,0.95,1,0.97,0,0
1774868272194,2026-03-30T12:57:52+02:00,cdt1,idt1a,0,0.85,hazard_scan,0.95,12,0.97,0,0
1774868277201,2026-03-30T12:57:57+02:00,cdt1,idt1a,0,1.15,hazard_scan,0.95,12,0.97,0,0
1774868282196,2026-03-30T12:58:02+02:00,cdt1,idt1a,0,1.45,hazard_scan,0.95,12,0.97,1,0
1774868287195,2026-03-30T12:58:07+02:00,cdt1,idt1a,0,1.6,hazard_scan,0.95,1,0.97,0,0
1774868292192,2026-03-30T12:58:12+02:00,cdt1,idt1a,0,1.9,clearance,0.95,1,0.97,0,0
1774868297193,2026-03-30T12:58:17+02:00,cdt1,idt1a,0,2.2,clearance,0.95,12,0.97,0,0
1774868302193,2026-03-30T12:58:22+02:00,cdt1,idt1a,0,2.35,clearance,0.95,12,0.97,0,0
1774868307194,2026-03-30T12:58:27+02:00,cdt1,idt1a,0,2.65,clearance,0.95,1,0.97,0,0
1774868312202,2026-03-30T12:58:32+02:00,cdt1,idt1a,0,2.95,clearance,0.95,1,0.97,0,0
1774868317204,2026-03-30T12:58:37+02:00,cdt1,idt1a,0,3.1,clearance,0.95,12,0.97,0,0
1774868322192,2026-03-30T12:58:42+02:00,cdt1,idt1a,0,3.4,clearance,0.95,12,0.97,0,0
1774868327193,2026-03-30T12:58:47+02:00,cdt1,idt1a,0,3.7,clearance,0.95,1,0.97,0,0
1774868332194,2026-03-30T12:58:52+02:00,cdt1,idt1a,0,3.85,clearance,0.95,12,0.97,0,0
1774868337194,2026-03-30T12:58:57+02:00,cdt1,idt1a,0,4.15,clearance,0.95,1,0.97,0,0
1774868342198,2026-03-30T12:59:02+02:00,cdt1,idt1a,0,4.45,clearance,0.95,12,0.97,0,0
1774868347201,2026-03-30T12:59:07+02:00,cdt1,idt1a,0,4.6,clearance,0.95,1,0.97,0,0
1774868352197,2026-03-30T12:59:12+02:00,cdt1,idt1a,0,4.9,verifying,0.95,12,0.97,0,0
1774868357194,2026-03-30T12:59:17+02:00,cdt1,idt1a,0,5.2,verifying,0.95,12,0.97,0,0
1774868362193,2026-03-30T12:59:22+02:00,cdt1,idt1a,0,5.35,verifying,0.95,12,0.97,0,0
1774868367197,2026-03-30T12:59:27+02:00,cdt1,idt1a,0,5.65,verifying,0.95,12,0.97,0,0
1774868372200,2026-03-30T12:59:32+02:00,cdt1,idt1a,0,5.95,verifying,0.95,1,0.97,0,0
1774868377206,2026-03-30T12:59:37+02:00,cdt1,idt1a,0,6.1,verifying,0.95,12,0.97,0,0
1774868437200,2026-03-30T13:00:37+02:00,cdt1,idt1a,0,9.1,exploring,0.95,12,0.97,0,0
1774868442195,2026-03-30T13:00:42+02:00,cdt1,idt1a,0,9.4,hazard_scan,0.95,12,0.97,0,0
1774868447194,2026-03-30T13:00:47+02:00,cdt1,idt1a,0,9.7,hazard_scan,0.95,12,0.97,0,0
1774868452193,2026-03-30T13:00:52+02:00,cdt1,idt1a,0,9.85,hazard_scan,0.95,12,0.97,0,0
1774868457192,2026-03-30T13:00:57+02:00,cdt1,idt1a,0,10.15,hazard_scan,0.95,1,0.97,0,0
1774868462194,2026-03-30T13:01:02+02:00,cdt1,idt1a,0,10.45,hazard_scan,0.95,12,0.97,0,0
1774868467197,2026-03-30T13:01:07+02:00,cdt1,idt1a,0,10.6,hazard_scan,0.95,1,0.97,0,0
1774868472199,2026-03-30T13:01:12+02:00,cdt1,idt1a,0,10.9,hazard_scan,0.95,12,0.97,0,0
1774868477209,2026-03-30T13:01:17+02:00,cdt1,idt1a,0,11.2,clearance,0.95,1,0.97,0,0
1774868482197,2026-03-30T13:01:22+02:00,cdt1,idt1a,0,11.35,clearance,0.95,1,0.97,0,0
1774868487197,2026-03-30T13:01:27+02:00,cdt1,idt1a,0,11.65,clearance,0.95,1,0.97,1,0
1774868492192,2026-03-30T13:01:32+02:00,cdt1,idt1a,0,11.95,clearance,0.95,12,0.97,0,0
1774868497200,2026-03-30T13:01:37+02:00,cdt1,idt1a,0,12.1,clearance,0.95,1,0.97,0,0
1774868502195,2026-03-30T13:01:42+02:00,cdt1,idt1a,0,12.4,clearance,0.95,1,0.97,0,0
1774868507198,2026-03-30T13:01:47+02:00,cdt1,idt1a,0,12.7,clearance,0.95,1,0.97,0,0
1774868512193,2026-03-30T13:01:52+02:00,cdt1,idt1a,0,12.85,clearance,0.95,1,0.97,0,0
1774868517196,2026-03-30T13:01:57+02:00,cdt1,idt1a,0,13.15,clearance,0.95,1,0.97,0,0
1774868522194,2026-03-30T13:02:02+02:00,cdt1,idt1a,0,13.45,clearance,0.95,1,0.97,0,0
1774868527197,2026-03-30T13:02:07+02:00,cdt1,idt1a,0,13.6,clearance,0.95,12,0.97,0,0
1774868532198,2026-03-30T13:02:12+02:00,cdt1,idt1a,0,13.9,clearance,0.95,1,0.97,0,0
1774868537199,2026-03-30T13:02:17+02:00,cdt1,idt1a,0,14.2,clearance,0.95,1,0.97,0,0
1774868542201,2026-03-30T13:02:22+02:00,cdt1,idt1a,0,14.35,verifying,0.95,1,0.97,0,0
1774868547201,2026-03-30T13:02:27+02:00,cdt1,idt1a,0,14.65,verifying,0.95,1,0.97,1,0
1774868552197,2026-03-30T13:02:32+02:00,cdt1,idt1a,0,14.95,verifying,0.95,1,0.97,0,0
1774868557193,2026-03-30T13:02:37+02:00,cdt1,idt1a,0,15.1,verifying,0.95,1,0.97,0,0
1774868562198,2026-03-30T13:02:42+02:00,cdt1,idt1a,0,15.4,verifying,0.95,1,0.97,0,0
1774868567202,2026-03-30T13:02:47+02:00,cdt1,idt1a,0,15.7,verifying,0.95,1,0.97,0,0
